국제관,="0101",203,교과교재연구및지도법(음악),정윤선
국제관,="0101",204,Jazz화성법Ⅱ,김영표
국제관,="0101",210,논문지도(박)Ⅱ,김소형
국제관,="0102",112,고체역학,이상필
국제관,="0102",113,철학의향기와역사이야기,박순준
국제관,="0102",120,재료역학Ⅱ,정범석
국제관,="0102",127,수공학과상하수도실무,류권규
국제관,="0102",215,재료역학Ⅱ,고대은
국제관,="0102",216,해양시추및플랜트공학,이재용
국제관,="0102",218,열역학,석명은
국제관,="0102",229,금형설계,이상현
국제관,="0102",327,환경통계학,윤권감
국제관,="0102",403,데이터분석세미나,이현경
국제관,="0102",406,스마트도시공간정보론,백태경
국제관,="0102",414,영어회화,아데
국제관,="0102",416,산학연계세미나실무Ⅱ,윤상복
국제관,="0102",419,분리기술,정소담
국제관,="0102",420,대학일반화학Ⅱ,김노원
국제관,="0102",427,화학공정계산Ⅱ,양진경
국제관,="0102",501,신소재공학및실험,권택규
국제관,="0102",513,형태학,김미라
국제관,="0102",514,도시계획론,김형보
국제관,="0102",516,문학과삶(슬로리딩),김수환
국제관,="0102",518,문학과삶(슬로리딩),김도희
국제관,="0102",519,전기전자회로및실습,김완우
국제관,="0102",520,창의캡스톤디자인,이원재
국제관,="0102",602-3,건설기초설계,나춘선
국제관,="0102",614,건축환경,박경순
국제관,="0102",616,비용관리,이상범
국제관,="0102",620,재료역학,이형래
국제관,="0102",717,논문지도(석),이권형
국제관,="0102",723,건축과사회,이태문
국제관,="0102",724,도시디자인,신병윤
국제관,="0103",112,고체역학,이상필
국제관,="0103",113,열전달,손영석
국제관,="0103",119,소성공학,곽효서
국제관,="0103",120,토질역학Ⅱ,홍석우
국제관,="0103",121,영어회화,다니엘쉐리든
국제관,="0103",127,응용역학실무,정범석
국제관,="0103",215,재료역학Ⅱ,고대은
국제관,="0103",216,해양구조물운동역학,박일룡
국제관,="0103",218,열역학,석명은
국제관,="0103",221,전산구조해석,이석민
국제관,="0103",229,전공탐색과생애설계Ⅰ-Ⅱ,서성부
국제관,="0103",327,열전달,정소담
국제관,="0103",403,데이터분석세미나,이현경
국제관,="0103",416,산학연계세미나실무Ⅱ,윤상복
국제관,="0103",420,대학일반화학Ⅱ,김노원
국제관,="0103",421,대기환경공학Ⅰ,손장호
국제관,="0103",427,화공열역학Ⅰ,이강춘
국제관,="0103",501,신소재공학및실험,권택규
국제관,="0103",504,창의캡스톤디자인,이원재
국제관,="0103",513,형태학,김미라
국제관,="0103",514,도시계획론,김형보
국제관,="0103",516,철학의향기와역사이야기,김예슬
국제관,="0103",518,철학의향기와역사이야기,구자상
국제관,="0103",520,금속표면공학,이인섭
국제관,="0103",616,건설사업관리,양진국
국제관,="0103",618,영어회화,닐햄
국제관,="0103",619,영어회화,아데
국제관,="0103",620,재료역학,이형래
국제관,="0103",724,도시디자인,신병윤
국제관,="0103",725,근현대건축사,양재혁
국제관,="0104",327,열전달,정소담
국제관,="0104",419,대학일반화학Ⅱ,정민수
국제관,="0104",420,폐기물처리공학설계(산학연계학),김정권
국제관,="0104",421,대기환경공학Ⅰ,손장호
국제관,="0104",427,화공열역학Ⅰ,이강춘
국제관,="0104",504,창의캡스톤디자인,이원재
국제관,="0104",520,금속표면공학,이인섭
국제관,="0104",527,재료물리,최두호
국제관,="0104",602-2,건설기초설계,김광주
국제관,="0104",613,건물자동화설비,김삼열
국제관,="0104",614,건축재료학,박경순
국제관,="0104",723,단지계획론,최임주
국제관,="0104",733-A,건설기초설계,이권형
국제관,="0104",733-B,건설기초설계,김희근
국제관,="0104",733-C,건설기초설계,석민철
국제관,="0104",734-A,건설기초설계,최지혜
국제관,="0105",102,정밀측정및실습,예상돈
국제관,="0105",112,문학과삶(슬로리딩),김수환
국제관,="0105",113,열역학,석명은
국제관,="0105",120,측량학Ⅱ,문두열
국제관,="0105",127,문학과삶(슬로리딩),안장혁
국제관,="0105",208-A,논문지도(석),조용진
국제관,="0105",215,철학의향기와역사이야기,구자상
국제관,="0105",216,유체역학Ⅱ,박일룡
국제관,="0105",221,건설기초설계,황주영
국제관,="0105",229,ICT융합기술론,임중선
국제관,="0105",413,ICT융합기술론,심성현
국제관,="0105",416,타운플래닝리뷰,김형보
국제관,="0105",419,영어회화,케이티
국제관,="0105",421,환경생태·복원공학,윤권감
국제관,="0105",513,영어회화,닐햄
국제관,="0105",519,창의캡스톤디자인,권택규
국제관,="0105",520,고분자합성,김미라
국제관,="0105",521,영어회화,다니엘쉐리든
국제관,="0105",602-2,건설기초설계,김광주
국제관,="0105",614,건축재료학,박경순
국제관,="0105",616,캡스톤디자인Ⅰ,윤석태
국제관,="0105",723,단지계획론,최임주
국제관,="0105",733-A,건설기초설계,이권형
국제관,="0105",733-B,건설기초설계,김희근
국제관,="0105",733-C,건설기초설계,석민철
국제관,="0105",734-A,건설기초설계,최지혜
국제관,="0106",102,정밀측정및실습,예상돈
국제관,="0106",112,문학과삶(슬로리딩),김수환
국제관,="0106",113,열역학,석명은
국제관,="0106",120,측량학Ⅱ,문두열
국제관,="0106",127,문학과삶(슬로리딩),안장혁
국제관,="0106",208-A,논문지도(석),조용진
국제관,="0106",215,철학의향기와역사이야기,구자상
국제관,="0106",216,수치해석,박일룡
국제관,="0106",221,건설기초설계,황주영
국제관,="0106",413,ICT융합기술론,심성현
국제관,="0106",416,타운플래닝리뷰,김형보
국제관,="0106",419,영어회화,케이티
국제관,="0106",420,폐기물처리공학Ⅱ,김정권
국제관,="0106",427,유기재료화학,정민수
국제관,="0106",513,영어회화,닐햄
국제관,="0106",516,금속열처리공학,박영도
국제관,="0106",518,재료의기계적성질,이근형
국제관,="0106",519,창의캡스톤디자인,권택규
국제관,="0106",520,고분자합성,김미라
국제관,="0106",521,영어회화,다니엘쉐리든
국제관,="0106",602-2,건설기초설계,김광주
국제관,="0106",603-1,건축기술특론,설현석
국제관,="0106",613,고급캡스톤디자인,양진국
국제관,="0106",614,고급캡스톤디자인,이상범
국제관,="0106",616,캡스톤디자인Ⅰ,윤석태
국제관,="0106",619,고급캡스톤디자인,박률
국제관,="0106",620,고급캡스톤디자인,이형래
국제관,="0106",725,건축의장론,양재혁
국제관,="0106",733-A,건설기초설계,이권형
국제관,="0106",733-B,건설기초설계,김희근
국제관,="0106",733-C,건설기초설계,석민철
국제관,="0106",734-A,건설기초설계,최지혜
국제관,="0107",112,인클루시브리터러시의힘,김용하
국제관,="0107",120,수리학Ⅱ,류권규
국제관,="0107",127,영화속의과학이해,이혜진
국제관,="0107",229,대중음악의역사와문화,손명균
국제관,="0107",313,의사결정설계및분석,백천현
국제관,="0107",327,여대생진로설계,이정원
국제관,="0107",403,도시정책론,윤상복
국제관,="0107",420,폐기물처리공학Ⅱ,김정권
국제관,="0107",427,유기재료화학,정민수
국제관,="0107",516,금속열처리공학,박영도
국제관,="0107",520,표면공학특론,정찬영
국제관,="0107",603-1,건축기술특론,설현석
국제관,="0107",613,고급캡스톤디자인,양진국
국제관,="0107",614,고급캡스톤디자인,이상범
국제관,="0107",618,친환경주거시설에대한이해,박경순
국제관,="0107",619,고급캡스톤디자인,박률
국제관,="0107",620,고급캡스톤디자인,이형래
국제관,="0107",724,친환경건축,김희근
국제관,="0107",725,건축법규,석민철
국제관,="0108",112,인클루시브리터러시의힘,김용하
국제관,="0108",120,수리학Ⅱ,류권규
국제관,="0108",127,영화속의과학이해,이혜진
국제관,="0108",229,대중음악의역사와문화,손명균
국제관,="0108",313,의사결정설계및분석,백천현
국제관,="0108",318,기기분석특론,정민수
