산학협력관,="0101",102-1,부과원전,최수지
산학협력관,="0102",402,상한론Ⅰ,이상협
산학협력관,="0102",414,생화학Ⅰ,최영현
산학협력관,="0102",501,진단학Ⅱ,김경철
산학협력관,="0102",502,예방의학및양생학,이해웅
산학협력관,="0102",509,추나학및실습Ⅱ,권헌준
산학협력관,="0102",512,간계내과학및실습Ⅱ,박상은
산학협력관,="0103",412,원전Ⅱ,이상협
산학협력관,="0103",414,생화학Ⅰ,최영현
산학협력관,="0103",501,병리학실습Ⅱ,박신형
산학협력관,="0103",502,예방의학및양생학,이해웅
산학협력관,="0103",509,비계내과학Ⅱ,김원일
산학협력관,="0103",512,신경정신과학및실습Ⅱ,권찬영
산학협력관,="0104",408-2,내풍론Ⅱ,김경민
산학협력관,="0104",412,원전Ⅱ,이상협
산학협력관,="0104",414,생화학Ⅰ,최영현
산학협력관,="0104",501,병리학실습Ⅱ,박신형
산학협력관,="0104",509,비계내과학Ⅱ,김원일
산학협력관,="0104",512,신경정신과학및실습Ⅱ,권찬영
산학협력관,="0105",408-2,내풍론Ⅱ,김경민
산학협력관,="0105",502,경락경혈학Ⅱ,원지윤
산학협력관,="0106",201,임상실습Ⅱ,김원일
산학협력관,="0106",412,해부학Ⅱ,김범회
산학협력관,="0106",414,한의학과논리Ⅱ,이용태
산학협력관,="0106",501,예방의학및실습Ⅱ,이해웅
산학협력관,="0106",502,경락경혈학Ⅱ,원지윤
산학협력관,="0106",512,신계내과학및실습Ⅱ,손변우
산학협력관,="0107",201,임상실습Ⅱ,김원일
산학협력관,="0107",412,해부학Ⅱ,김범회
산학협력관,="0107",414,한의학과논리Ⅱ,이용태
산학협력관,="0107",501,예방의학및실습Ⅱ,이해웅
산학협력관,="0107",502,양방생리학Ⅱ,최영현
산학협력관,="0107",512,신계내과학및실습Ⅱ,손변우
산학협력관,="0108",308,종양치료의최신지견Ⅱ,홍상훈
산학협력관,="0108",412,해부학Ⅱ,김범회
산학협력관,="0108",414,한의학과논리Ⅱ,이용태
산학협력관,="0108",501,방제학Ⅱ,신순식
산학협력관,="0108",502,양방생리학Ⅱ,최영현
산학협력관,="0108",509,신침요법학,서종철
산학협력관,="0108",512,침구과학및실습Ⅱ,윤현민
산학협력관,="0109",510,음악연구 I,탁경주
산학협력관,="0110",206,지도교수세미나Ⅱ,김경철
산학협력관,="0110",206,지도교수세미나Ⅳ,김경철
산학협력관,="0110",207,지도교수세미나Ⅳ,신순식
산학협력관,="0110",207,지도교수세미나Ⅱ,신순식
산학협력관,="0110",208,지도교수세미나Ⅱ,이해웅
산학협력관,="0110",208,지도교수세미나Ⅳ,이해웅
산학협력관,="0111",510,음악연구 I,탁경주
산학협력관,="0111",517,대중음악 반주법I,연관호
산학협력관,="0111",614,스토리텔링과서사,이철우
산학협력관,="0112",406,의료와윤리,김선경
산학협력관,="0113",510,교실 악기 실습 I,최연지
산학협력관,="0113",517,대중음악 반주법I,연관호
산학협력관,="0114",414,논문지도(석),김병조
산학협력관,="0114",415,논문지도(석),이수경
산학협력관,="0114",507,IT-헬스케어특론,임용
산학협력관,="0201",404,전공실기Ⅵ,권성호
산학협력관,="0202",131,전공실기Ⅷ,이주미
산학협력관,="0202",201,음악해석론,최훈녀
산학협력관,="0202",303,전공실기Ⅵ,이동섬
산학협력관,="0202",404,전공실기Ⅷ,권성호
산학협력관,="0203",207,장기발생학Ⅰ,이용태
산학협력관,="0203",412,생화학Ⅱ,최영현
산학협력관,="0203",414,논리적사유와글쓰기,김선경
산학협력관,="0203",501,진단학실습Ⅱ,김경철
산학협력관,="0203",502,원전Ⅳ,이상협
산학협력관,="0203",509,폐계내과학Ⅱ,신우진
산학협력관,="0203",512,피부외과학및실습Ⅱ,윤화정
산학협력관,="0204",206,운동손상증후군,김범회
산학협력관,="0204",412,생화학Ⅱ,최영현
산학협력관,="0204",414,논리적사유와글쓰기,김선경
산학협력관,="0204",501,진단학실습Ⅱ,김경철
산학협력관,="0204",502,원전Ⅳ,이상협
산학협력관,="0204",509,폐계내과학Ⅱ,신우진
산학협력관,="0204",512,피부외과학및실습Ⅱ,윤화정
산학협력관,="0205",408-2,내풍론Ⅱ,김경민
산학협력관,="0206",203,전공실기Ⅱ,김대규
산학협력관,="0206",204,영어딕션과레파토리,남상임
산학협력관,="0206",209,전공실기Ⅷ,김성숙
산학협력관,="0206",210,전공실기Ⅷ,김소형
산학협력관,="0206",214,전공실기Ⅷ,백재진
산학협력관,="0206",301-1,전공실기(석)Ⅳ,김종대
산학협력관,="0206",304,유아피아노교육법(유리드믹스),이동섬
산학협력관,="0206",427,합창과보컬트레이닝,최훈녀
산학협력관,="0207",201,캡스톤디자인Ⅱ,김원일
산학협력관,="0207",308,종양치료의최신지견Ⅱ,홍상훈
산학협력관,="0207",412,해부학Ⅱ,김범회
산학협력관,="0207",414,한의학과논리Ⅱ,이용태
산학협력관,="0207",501,예방의학및실습Ⅱ,이해웅
산학협력관,="0207",502,생리학Ⅱ,강경화
산학협력관,="0207",509,침구과학Ⅲ,김철홍
산학협력관,="0208",207,전공탐색과진로설계Ⅱ-Ⅱ,최훈녀
산학협력관,="0208",207,지도교수세미나Ⅲ-Ⅱ,최훈녀
산학협력관,="0208",207,지도교수세미나Ⅳ-Ⅱ,최훈녀
산학협력관,="0208",209,지도교수세미나Ⅲ-Ⅱ,김성숙
산학협력관,="0208",209,전공탐색과진로설계Ⅱ-Ⅱ,김성숙
산학협력관,="0208",209,지도교수세미나Ⅳ-Ⅱ,김성숙
산학협력관,="0208",210,지도교수세미나Ⅳ-Ⅱ,김소형
산학협력관,="0208",210,전공탐색과진로설계Ⅱ-Ⅱ,김소형
산학협력관,="0208",210,지도교수세미나Ⅲ-Ⅱ,김소형
산학협력관,="0208",213,지도교수세미나Ⅲ-Ⅱ,윤상운
산학협력관,="0208",213,전공탐색과진로설계Ⅱ-Ⅱ,윤상운
산학협력관,="0208",213,지도교수세미나Ⅳ-Ⅱ,윤상운
산학협력관,="0208",215,지도교수세미나Ⅳ-Ⅱ,이기녕
산학협력관,="0208",215,전공탐색과진로설계Ⅱ-Ⅱ,이기녕
산학협력관,="0208",215,지도교수세미나Ⅲ-Ⅱ,이기녕
산학협력관,="0208",302,지도교수세미나Ⅲ-Ⅱ,하기종
산학협력관,="0208",302,전공탐색과진로설계Ⅱ-Ⅱ,하기종
산학협력관,="0208",302,지도교수세미나Ⅳ-Ⅱ,하기종
산학협력관,="0208",303,전공탐색과진로설계Ⅱ-Ⅱ,이동섬
산학협력관,="0208",303,지도교수세미나Ⅲ-Ⅱ,이동섬
산학협력관,="0208",303,지도교수세미나Ⅳ-Ⅱ,이동섬
산학협력관,="0208",401,전공실기(석)Ⅳ,권성호
산학협력관,="0209",412,해부학실습Ⅱ,김범회
산학협력관,="0209",501,방제학실습Ⅱ,총배금
산학협력관,="0209",502,경락경혈학Ⅱ,원지윤
산학협력관,="0209",509,소아과학Ⅱ,유선애
산학협력관,="0210",501,방제학실습Ⅱ,총배금
산학협력관,="0211",201,논문지도(석),정석찬
산학협력관,="0211",510,즉흥연주법 II,탁경주
산학협력관,="0211",517,음악재활실습I,이소영
산학협력관,="0211",614,스토리텔링에대한이해,김치용
산학협력관,="0211",618,교육연구법,정흥식
산학협력관,="0212",201,논문지도(박)Ⅱ,정석찬
산학협력관,="0212",510,편곡실습,연관호
산학협력관,="0212",517,음악재활실습I,이소영
산학협력관,="0212",614,스토리텔링에대한이해,김치용
산학협력관,="0212",618,교육연구법,정흥식
산학협력관,="0213",201,논문지도(박)Ⅱ,정석찬
산학협력관,="0213",510,편곡실습,연관호
산학협력관,="0213",517,음악재활실습I,이소영
산학협력관,="0213",618,교육연구법,정흥식
산학협력관,="0214",608,스포츠물리치료학특론,김준석
산학협력관,="0301",201,임상실습Ⅱ,김원일
산학협력관,="0301",302,종양학특론,최영현
산학협력관,="0301",303,경락원리론Ⅰ,원지윤
산학협력관,="0301",501,침구과학Ⅰ,박재흥
산학협력관,="0301",502,면역학Ⅱ,박철
산학협력관,="0301",512,재활의학과학및실습Ⅱ,조성우
